UNITID,CDACTUA,EFTEUG,FTEUG
196060,372953.0,12432.0,12432.0
196079,401939.0,13099.0,13082.0
196088,401939.0,13099.0,13082.0
196097,401939.0,13099.0,13082.0
196103,42324.0,1411.0,1411.0
196112,57603.0,1920.0,1920.0
196121,158472.0,5282.0,5282.0
196130,167165.0,5572.0,5572.0
196149,180408.0,6014.0,6014.0
196158,109413.0,3647.0,3647.0
196167,131249.0,4375.0,4375.0
196176,178841.0,5961.0,5961.0
196185,155801.0,5193.0,5193.0
196194,178391.0,5946.0,5946.0
196200,70782.0,2359.0,2359.0
196219,100902.0,3363.0,3363.0
196237,115710.0,3857.0,3857.0
196246,122777.0,4093.0,4093.0
196255,6871.0,229.0,229.0
196264,167963.0,5599.0,5599.0
196291,49641.0,1655.0,1655.0
196307,5585.0,186.0,186.0
196389,13754.0,488.0,488.0
196413,401939.0,13099.0,13082.0
196431,11820.0,394.0,394.0
196440,1537.0,57.0,57.0
196565,77244.0,2575.0,2575.0
196583,1830.0,61.0,61.0
196592,133599.0,4453.0,4453.0
196653,23287.0,776.0,776.0
196680,126512.0,4217.0,4217.0
196699,46470.0,1549.0,1549.0
196866,61293.0,2043.0,2043.0
197018,59700.0,1990.0,1990.0
197027,45303.0,1510.0,1510.0
197036,159082.0,5303.0,4620.0
197045,85905.0,2864.0,2864.0
197133,73243.0,2441.0,2441.0
197142,12147.0,405.0,405.0
197151,103646.0,3455.0,3455.0
197197,43780.0,1459.0,1459.0
197221,3758.0,125.0,105.0
197230,9533.0,318.0,318.0
197285,25746.0,858.0,858.0
197294,197835.0,6595.0,6595.0
197601,3930.0,131.0,131.0
197647,3930.0,131.0,131.0
197674,5688.0,190.0,190.0
197692,1699.0,57.0,57.0
197708,84159.0,2805.0,2805.0
197735,27750.0,925.0,925.0
197744,8520.0,284.0,284.0
197814,42225.0,1408.0,1408.0
197850,64349.0,2145.0,2145.0
197869,401939.0,13099.0,13082.0
197887,125837.0,4195.0,4195.0
197911,32074.0,1069.0,1069.0
197966,20319.0,677.0,677.0
197984,44266.0,1476.0,1476.0
197993,5741.0,191.0,191.0
198011,25660.0,855.0,1081.0
198039,65070.0,2169.0,2169.0
198066,22417.0,747.0,747.0
198084,35147.0,1172.0,1172.0
198109,9876.0,329.0,329.0
198118,70997.0,2367.0,2367.0
198136,93995.0,3133.0,3133.0
198154,224852.0,7495.0,7495.0
198206,33836.0,1128.0,1128.0
198215,35131.0,1171.0,1171.0
198233,86228.0,2874.0,2874.0
198251,98972.0,3299.0,3299.0
198260,362251.0,12075.0,12075.0
198303,26973.0,899.0,899.0
198321,48767.0,1626.0,1626.0
198330,66412.0,2214.0,3271.0
198367,55003.0,1833.0,1833.0
198376,91770.0,3059.0,3059.0
198385,62664.0,2089.0,2047.0
198419,206652.0,6888.0,6888.0
198455,93074.0,3102.0,3102.0
198464,401939.0,13099.0,13082.0
198491,31803.0,1060.0,1060.0
198507,55035.0,1835.0,1835.0
198516,217194.0,7240.0,6033.0
198534,181608.0,6054.0,6054.0
198543,142255.0,4742.0,4742.0
198552,161043.0,5368.0,5368.0
198561,54801.0,1827.0,1827.0
198570,120450.0,4015.0,4015.0
198598,18826.0,628.0,628.0
198613,37443.0,1248.0,1248.0
198622,218113.0,7270.0,7270.0
198640,23070.0,769.0,769.0
198668,25860.0,862.0,862.0
198677,1537.0,57.0,57.0
198695,161854.0,5395.0,5395.0
198710,41179.0,1373.0,1373.0
198729,26906.0,897.0,1141.0
198756,33154.0,1105.0,1105.0
198774,98550.0,3285.0,3285.0
198808,25858.0,862.0,862.0
198817,48876.0,1629.0,1629.0
198835,42537.0,1418.0,1418.0
198862,27420.0,914.0,914.0
198871,16245.0,542.0,542.0
198899,29057.0,969.0,969.0
198905,14014.0,467.0,467.0
198914,13354.0,445.0,624.0
198923,22218.0,741.0,741.0
198950,46367.0,1546.0,1546.0
198969,42417.0,1414.0,1414.0
198978,67772.0,2259.0,2259.0
198987,67239.0,2241.0,2241.0
199023,14487.0,483.0,483.0
199032,24713.0,824.0,824.0
199069,51276.0,1709.0,1709.0
199087,52244.0,1741.0,1741.0
199102,334452.0,11148.0,11148.0
199111,88747.0,2958.0,2958.0
199120,401939.0,13099.0,13082.0
199139,401939.0,13099.0,13082.0
199148,401939.0,13099.0,13082.0
199157,161652.0,5388.0,5388.0
199184,27118.0,904.0,904.0
199193,401939.0,13099.0,13082.0
199209,39193.0,1306.0,1306.0
199218,401939.0,13099.0,13082.0
199263,5925.0,198.0,198.0
199272,21587.0,720.0,720.0
199281,163294.0,5443.0,5443.0
199306,22565.0,752.0,752.0
199324,22682.0,756.0,756.0
199333,166424.0,5547.0,5547.0
199412,44833.0,1494.0,1494.0
199421,46122.0,1537.0,1537.0
199449,52573.0,1752.0,1752.0
199458,3495.0,117.0,117.0
199467,11936.0,398.0,373.0
199476,40262.0,1342.0,1342.0
199485,26654.0,888.0,888.0
199494,118853.0,3962.0,3962.0
