UNITID,RRFTCT,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTCTA,RET_NMP,STUFACR 
140872,249.0,249.0,169.0,68.0,1.0,1.0,1.0,12.0
140872,244.0,244.0,152.0,62.0,43.0,43.0,20.0,16.0
140872,971.0,970.0,672.0,74.0,10.0,10.0,2.0,14.0
140872,115.0,115.0,72.0,63.0,2.0,2.0,0.0,10.0
140872,173.0,173.0,136.0,79.0,57.0,57.0,22.0,17.0
140872,122.0,122.0,67.0,55.0,19.0,19.0,12.0,11.0
140872,48.0,48.0,42.0,87.0,1.0,1.0,1.0,15.0
140872,502.0,502.0,271.0,55.0,79.0,79.0,28.0,14.0
140872,179.0,179.0,80.0,55.0,23.0,23.0,6.0,13.0
140872,744.0,745.0,629.0,84.0,2.0,5.0,2.0,15.0
140872,362.0,362.0,207.0,57.0,2.0,2.0,0.0,16.0
140872,329.0,328.0,277.0,84.0,4.0,4.0,2.0,15.0
140872,85.0,85.0,61.0,72.0,45.0,45.0,17.0,11.0
140872,163.0,163.0,92.0,56.0,36.0,36.0,15.0,17.0
140872,268.0,268.0,147.0,55.0,45.0,46.0,13.0,12.0
140872,485.0,485.0,383.0,79.0,1.0,1.0,0.0,12.0
140872,53.0,53.0,27.0,55.0,22.0,22.0,6.0,12.0
140872,129.0,129.0,88.0,68.0,8.0,8.0,3.0,13.0
140872,201.0,197.0,135.0,69.0,1.0,1.0,0.0,14.0
140872,390.0,390.0,213.0,55.0,89.0,89.0,35.0,20.0
140872,117.0,117.0,89.0,76.0,21.0,21.0,13.0,10.0
140872,39.0,39.0,21.0,55.0,93.0,93.0,34.0,10.0
140872,729.0,729.0,436.0,60.0,161.0,161.0,61.0,15.0
140872,123.0,123.0,82.0,67.0,52.0,52.0,28.0,12.0
140872,172.0,172.0,106.0,62.0,33.0,33.0,16.0,16.0
140872,12.0,12.0,8.0,80.0,1.0,1.0,0.0,20.0
140872,56.0,56.0,18.0,55.0,14.0,14.0,2.0,12.0
140872,190.0,190.0,110.0,58.0,1.0,1.0,0.0,16.0
140872,172.0,172.0,84.0,55.0,47.0,46.0,24.0,13.0
140872,628.0,628.0,443.0,71.0,4.0,4.0,3.0,15.0
140872,201.0,201.0,115.0,57.0,41.0,41.0,10.0,11.0
140872,12.0,12.0,8.0,86.0,2.0,2.0,2.0,15.0
140872,570.0,569.0,405.0,71.0,29.0,29.0,16.0,19.0
140872,255.0,255.0,179.0,70.0,161.0,161.0,76.0,15.0
140872,129.0,126.0,71.0,56.0,161.0,161.0,76.0,20.0
140872,690.0,690.0,448.0,65.0,161.0,161.0,76.0,20.0
140872,13.0,13.0,11.0,85.0,16.0,16.0,15.0,20.0
140872,971.0,970.0,672.0,69.0,161.0,161.0,76.0,20.0
140872,624.0,624.0,486.0,78.0,10.0,10.0,2.0,10.0
140872,195.0,195.0,124.0,64.0,117.0,117.0,38.0,20.0
140872,61.0,61.0,11.0,55.0,1.0,1.0,0.0,15.0
140872,644.0,644.0,543.0,84.0,3.0,3.0,1.0,13.0
140872,965.0,965.0,672.0,70.0,161.0,161.0,76.0,20.0
140872,718.0,718.0,530.0,74.0,161.0,161.0,76.0,16.0
140872,971.0,970.0,672.0,73.0,40.0,40.0,13.0,18.0
140872,971.0,970.0,672.0,87.0,25.0,25.0,16.0,20.0
140872,971.0,970.0,672.0,73.0,28.0,28.0,13.0,19.0
140872,874.0,874.0,672.0,81.0,77.0,77.0,36.0,18.0
140872,971.0,970.0,672.0,80.0,93.0,93.0,49.0,20.0
140872,971.0,970.0,672.0,87.0,77.0,77.0,42.0,20.0
140872,971.0,970.0,672.0,80.0,52.0,52.0,20.0,20.0
140872,971.0,970.0,672.0,70.0,128.0,128.0,41.0,20.0
140872,971.0,970.0,672.0,76.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,86.0,155.0,155.0,73.0,20.0
140872,921.0,921.0,672.0,75.0,20.0,20.0,10.0,20.0
140872,971.0,970.0,672.0,85.0,125.0,125.0,76.0,20.0
140872,971.0,970.0,672.0,73.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,75.0,99.0,99.0,45.0,20.0
140872,971.0,970.0,672.0,80.0,95.0,95.0,50.0,20.0
140872,971.0,970.0,672.0,87.0,39.0,39.0,33.0,19.0
140872,971.0,970.0,672.0,87.0,100.0,100.0,75.0,20.0
140872,971.0,970.0,672.0,87.0,16.0,16.0,12.0,18.0
140872,971.0,970.0,672.0,87.0,17.0,17.0,9.0,18.0
140872,971.0,970.0,672.0,87.0,50.0,50.0,17.0,20.0
140872,971.0,970.0,672.0,87.0,36.0,36.0,28.0,19.0
140872,971.0,970.0,672.0,87.0,14.0,14.0,8.0,17.0
140872,971.0,970.0,672.0,87.0,33.0,33.0,17.0,20.0
140872,204.0,204.0,173.0,85.0,1.0,1.0,0.0,10.0
140872,154.0,154.0,116.0,75.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,71.0,161.0,161.0,76.0,20.0
140872,12.0,12.0,10.0,83.0,2.0,2.0,2.0,20.0
140872,33.0,33.0,31.0,87.0,1.0,1.0,1.0,15.0
140872,971.0,970.0,672.0,66.0,161.0,161.0,76.0,20.0
140872,153.0,153.0,69.0,55.0,161.0,161.0,76.0,20.0
140872,845.0,845.0,618.0,73.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,68.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,87.0,13.0,13.0,8.0,12.0
140872,15.0,15.0,8.0,55.0,1.0,1.0,1.0,10.0
140872,341.0,341.0,237.0,70.0,1.0,1.0,0.0,14.0
140872,80.0,80.0,48.0,60.0,2.0,4.0,4.0,11.0
140872,877.0,877.0,599.0,68.0,161.0,161.0,76.0,20.0
140872,895.0,895.0,596.0,67.0,161.0,161.0,76.0,20.0
140872,19.0,19.0,18.0,87.0,46.0,46.0,46.0,17.0
140872,77.0,77.0,42.0,55.0,161.0,161.0,76.0,20.0
140872,16.0,16.0,8.0,55.0,2.0,2.0,1.0,11.0
140872,140.0,140.0,80.0,57.0,150.0,150.0,35.0,14.0
140872,66.0,66.0,24.0,55.0,3.0,3.0,2.0,15.0
140872,132.0,132.0,84.0,64.0,152.0,152.0,61.0,14.0
140872,266.0,266.0,172.0,65.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,72.0,161.0,161.0,76.0,20.0
140872,410.0,410.0,280.0,68.0,161.0,161.0,76.0,17.0
140872,512.0,512.0,349.0,68.0,161.0,161.0,76.0,20.0
140872,363.0,363.0,280.0,77.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,78.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,64.0,161.0,161.0,76.0,20.0
140872,12.0,12.0,8.0,55.0,1.0,1.0,1.0,10.0
140872,971.0,970.0,672.0,80.0,161.0,161.0,76.0,20.0
140872,244.0,244.0,208.0,85.0,1.0,1.0,1.0,10.0
140872,971.0,970.0,672.0,68.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,71.0,161.0,161.0,76.0,20.0
140872,565.0,565.0,442.0,78.0,161.0,161.0,76.0,20.0
140872,16.0,16.0,13.0,81.0,1.0,1.0,0.0,16.0
140872,17.0,17.0,15.0,87.0,9.0,9.0,7.0,15.0
140872,971.0,970.0,672.0,66.0,161.0,161.0,76.0,20.0
140872,195.0,195.0,147.0,75.0,2.0,2.0,0.0,10.0
140872,971.0,970.0,672.0,72.0,161.0,161.0,76.0,20.0
140872,400.0,400.0,312.0,78.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,68.0,161.0,161.0,76.0,20.0
140872,918.0,918.0,672.0,74.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,71.0,161.0,161.0,76.0,19.0
140872,12.0,12.0,8.0,87.0,12.0,12.0,10.0,15.0
140872,927.0,927.0,666.0,72.0,161.0,161.0,76.0,20.0
140872,12.0,12.0,8.0,60.0,6.0,6.0,5.0,15.0
140872,99.0,99.0,64.0,65.0,2.0,2.0,1.0,10.0
140872,609.0,609.0,451.0,74.0,20.0,20.0,12.0,15.0
140872,924.0,924.0,672.0,76.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,80.0,161.0,161.0,76.0,20.0
140872,378.0,378.0,224.0,59.0,161.0,161.0,76.0,20.0
140872,58.0,58.0,40.0,69.0,4.0,4.0,3.0,12.0
140872,672.0,671.0,516.0,77.0,8.0,8.0,6.0,11.0
140872,122.0,121.0,95.0,79.0,1.0,1.0,1.0,10.0
140872,81.0,81.0,43.0,55.0,148.0,148.0,30.0,17.0
140872,181.0,174.0,83.0,55.0,161.0,161.0,76.0,20.0
140872,115.0,115.0,58.0,55.0,126.0,126.0,34.0,13.0
140872,195.0,195.0,149.0,76.0,20.0,20.0,10.0,10.0
140872,971.0,970.0,672.0,68.0,161.0,161.0,76.0,20.0
140872,492.0,492.0,345.0,70.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,79.0,161.0,161.0,76.0,20.0
140872,126.0,126.0,82.0,65.0,161.0,161.0,76.0,19.0
140872,472.0,472.0,326.0,69.0,161.0,161.0,76.0,20.0
140872,698.0,698.0,518.0,74.0,161.0,161.0,76.0,20.0
140872,223.0,223.0,192.0,86.0,2.0,2.0,0.0,13.0
140872,668.0,668.0,420.0,63.0,161.0,161.0,76.0,20.0
140872,480.0,480.0,338.0,70.0,161.0,161.0,76.0,20.0
140872,784.0,784.0,553.0,71.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,87.0,4.0,4.0,2.0,11.0
140872,33.0,33.0,28.0,85.0,17.0,17.0,17.0,20.0
140872,12.0,12.0,8.0,60.0,14.0,14.0,14.0,10.0
140872,12.0,12.0,8.0,87.0,5.0,5.0,4.0,14.0
140872,252.0,252.0,183.0,73.0,161.0,161.0,76.0,16.0
140872,70.0,70.0,35.0,55.0,137.0,137.0,38.0,14.0
140872,148.0,148.0,105.0,71.0,1.0,1.0,0.0,15.0
140872,971.0,970.0,672.0,69.0,161.0,161.0,76.0,20.0
140872,120.0,106.0,60.0,57.0,161.0,161.0,76.0,20.0
140872,19.0,19.0,16.0,84.0,1.0,1.0,0.0,19.0
140872,266.0,266.0,181.0,68.0,161.0,161.0,76.0,15.0
140872,12.0,12.0,9.0,75.0,14.0,14.0,8.0,15.0
140872,413.0,413.0,277.0,67.0,161.0,161.0,76.0,18.0
140872,971.0,970.0,672.0,79.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,82.0,161.0,161.0,76.0,20.0
140872,364.0,364.0,281.0,77.0,2.0,2.0,0.0,11.0
140872,971.0,970.0,672.0,64.0,161.0,161.0,76.0,20.0
140872,29.0,29.0,24.0,83.0,2.0,2.0,0.0,10.0
140872,427.0,427.0,314.0,74.0,161.0,161.0,76.0,17.0
140872,12.0,12.0,8.0,64.0,27.0,27.0,7.0,16.0
140872,14.0,14.0,9.0,64.0,1.0,1.0,0.0,10.0
140872,12.0,12.0,8.0,87.0,1.0,1.0,0.0,10.0
140872,720.0,720.0,554.0,77.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,70.0,161.0,161.0,76.0,20.0
140872,261.0,261.0,199.0,76.0,2.0,2.0,1.0,10.0
140872,500.0,500.0,357.0,71.0,161.0,161.0,76.0,20.0
140872,96.0,96.0,58.0,60.0,2.0,2.0,1.0,13.0
140872,166.0,166.0,129.0,78.0,1.0,1.0,0.0,20.0
140872,88.0,88.0,66.0,75.0,2.0,2.0,0.0,13.0
140872,779.0,779.0,672.0,87.0,2.0,2.0,0.0,14.0
140872,59.0,59.0,35.0,59.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,66.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,78.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,87.0,1.0,1.0,0.0,13.0
140872,662.0,662.0,560.0,85.0,1.0,1.0,0.0,13.0
140872,451.0,451.0,434.0,87.0,1.0,1.0,0.0,10.0
