UNITID,EFYDETOT,EFYDEANY_arcsin
100654,5663,1.0821350844397744
100663,15360,1.197674956347089
100690,351,1.5707963267948966
100706,8536,1.1535197784355469
100724,3899,1.2181927569306041
100751,34616,0.8672281904935523
100760,2218,1.0407140834087698
100812,3466,1.3050868395779327
100830,4796,1.0522685125728266
100858,26736,0.7594664319645447
100937,1105,0.39674811111467245
101028,1867,0.9234608683010463
101116,568,0.9900046053090428
101143,2539,0.9334769292590434
101161,9388,0.9494911627197298
101189,2289,0.981520187668828
101240,5780,1.0503998966807184
101277,114,0.0
101286,5144,0.8512963970785864
101295,7868,0.8683918596434653
101301,2489,1.0239569543221156
101365,1114,0.8420724050568914
101435,896,0.646335462405338
101453,101,1.1751807981994689
101462,1260,0.9327603874658535
101471,699,0.0
101480,9214,1.107257257127603
101505,12041,1.0432984701302088
101514,12815,1.0234339153934435
101569,4492,1.1549610264813588
101587,3165,0.96001619962862
101602,2419,1.0142660741732417
101648,329,0.7625939056405672
101675,1712,0.5455844921719004
101693,1784,0.9315278854996473
101709,2385,0.9913853492057801
101736,4475,0.8152482940530634
101879,7283,1.1710725070606738
101897,3350,1.1268478014556544
101912,1551,0.36440282853159556
101994,501,0.8665928716348832
102030,3880,0.7872022910235943
102049,3722,0.6263625648076546
102058,31,1.5707963267948966
102067,7024,1.0919787121336904
102076,4992,1.3131944085990228
102094,9908,0.8206514258299363
102234,1109,1.1488523624233262
102270,864,0.8108721453782917
102298,1402,1.1499430998522195
102313,2549,1.0559626315812372
102368,13713,1.0572133553407574
102377,2383,0.0
102395,134,1.5707963267948966
102429,4884,0.8676689756758635
102553,16548,1.1183170368697273
102580,52,0.47791986147002524
102614,9606,1.012928586385465
102632,3125,0.9343097991308524
102669,499,0.1269585760128933
102711,913,0.0
102845,3735,1.5707963267948966
103501,474,0.0
103741,235,0.0
103893,1977,0.8854577053052287
103909,931,0.7223959193015805
103927,781,0.8670668382017459
103954,72,0.0
103963,689,0.05390334538169859
104090,1413,1.5707963267948966
104151,70140,1.154235660773562
104160,12342,0.8838288461357419
104179,42276,0.8968301911628402
104346,8285,1.165671813396362
104391,100,0.0
104425,9396,0.6983261272250263
104443,73,0.0
104568,705,1.5707963267948966
104577,6588,0.6738186191500315
104586,3224,0.4702835123739427
104708,20921,0.9033329851866434
104717,96807,1.3446285479847107
105145,7364,0.8956039094591438
105154,24462,0.9421946959244215
105206,5078,0.9741758228707911
105215,1228,0.0
105297,1733,1.4433415243360803
105330,26528,1.0170600948877957
105349,4544,0.907424574682452
105367,506,1.5707963267948966
105428,14232,0.9579274650872646
105525,32415,0.8653778567779151
105534,3800,0.8995449949055219
105543,1232,0.26094039625602095
105589,491,0.6650961971017083
105659,1634,0.181087352057356
105668,30625,0.903539286160091
105677,29,0.0
105747,11583,0.9505628742495832
105792,5243,0.9807768482507532
105899,1110,0.92036456131415
106041,2839,0.0
106148,9713,0.8329836065568371
106245,7479,1.1056128458326426
106263,1270,1.0623341484035795
106306,862,0.0
106315,181,0.0
106324,59,0.0
106342,595,0.42911256449802754
106351,72,0.0
106360,40,0.0
106397,26246,0.8298826434140564
106412,2663,1.2273246937812283
106449,3724,0.9344824795254248
106458,10172,1.1014464764610647
106467,9966,1.008234875832548
106485,3279,0.8707464614420115
106494,54,0.0
106546,887,0.09511262815640464
106625,1978,1.0074933696285548
106704,9190,0.9437445254033386
106713,674,0.8255004917073651
106795,1694,0.9513566460368245
106810,211,1.0736068523742193
106883,1607,1.079248701068726
106892,139,0.0
106908,525,0.0
106980,2783,0.9298723252082763
106999,1336,0.9508248827295428
107044,3945,0.4958456942498715
107071,2445,1.1538402081204882
107080,1125,0.0
107099,125,0.0
107123,100,0.0
107141,1927,0.7732018320086207
107220,361,0.0
107293,93,0.0
107318,1422,0.8446081830568469
107327,1846,1.0852898711820917
107442,42,0.0
