UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A   
110361,237.0,5572008.0,23511.0,58.0,782151.0,13485.0,295,6354159,21540.0,30.0,68250.0,2275.0,7.0,14500.0,2071.0,37,82750,2236.0
110422,131.0,934697.0,7135.0,7.0,36907.0,5272.0,138,971604,7041.0,1.0,3398.0,3398.0,1.0,2687.0,2687.0,2,6085,3043.0
110486,80.0,494110.0,6176.0,17.0,98661.0,5804.0,97,592771,6111.0,4.0,6600.0,1650.0,1.0,750.0,750.0,5,7350,1470.0
110529,271.0,1212534.0,4474.0,22.0,155317.0,7060.0,293,1367851,4668.0,10.0,20233.0,2023.0,2.0,3526.0,1763.0,12,23759,1980.0
110538,115.0,537014.0,4670.0,15.0,68284.0,4552.0,130,605298,4656.0,2.0,7864.0,3932.0,1.0,2250.0,2250.0,3,10114,3371.0
110556,120.0,476109.0,3968.0,14.0,71756.0,5125.0,134,547865,4089.0,8.0,26403.0,3300.0,1.0,1500.0,1500.0,9,27903,3100.0
110565,296.0,1488320.0,5028.0,55.0,346777.0,6305.0,351,1835097,5228.0,19.0,41017.0,2159.0,5.0,9770.0,1954.0,24,50787,2116.0
110574,130.0,666734.0,5129.0,18.0,121603.0,6756.0,148,788337,5327.0,3.0,11645.0,3882.0,3.0,9709.0,3236.0,6,21354,3559.0
110583,419.0,1922457.0,4588.0,74.0,595472.0,8047.0,493,2517929,5107.0,14.0,34488.0,2463.0,10.0,28955.0,2896.0,24,63443,2643.0
110592,137.0,549151.0,4008.0,20.0,136205.0,6810.0,157,685356,4365.0,4.0,8871.0,2218.0,2.0,4580.0,2290.0,6,13451,2242.0
110608,294.0,1432519.0,4873.0,25.0,201585.0,8063.0,319,1634104,5123.0,11.0,19780.0,1798.0,4.0,8888.0,2222.0,15,28668,1911.0
110617,275.0,1327429.0,4827.0,20.0,120332.0,6017.0,295,1447761,4908.0,14.0,40115.0,2865.0,3.0,10670.0,3557.0,17,50785,2987.0
110644,62.0,825769.0,13319.0,57.0,2612843.0,45839.0,119,3438612,28896.0,5.0,14580.0,2916.0,4.0,10333.0,2583.0,9,24913,2768.0
114813,41.0,813141.0,19833.0,15.0,306608.0,20441.0,56,1119749,19996.0,2.0,4500.0,2250.0,1.0,4000.0,4000.0,3,8500,2833.0
115083,746.0,7450892.0,9988.0,498.0,6986803.0,14030.0,1244,14437695,11606.0,13.0,27000.0,2077.0,7.0,12250.0,1750.0,20,39250,1963.0
117140,169.0,1895153.0,11214.0,82.0,1014912.0,12377.0,251,2910065,11594.0,80.0,210407.0,2630.0,30.0,110135.0,3671.0,110,320542,2914.0
117751,58.0,797227.0,13745.0,29.0,188340.0,6494.0,87,985567,11328.0,18.0,45570.0,2532.0,5.0,10500.0,2100.0,23,56070,2438.0
119605,3017.0,27477015.0,9107.0,800.0,6615242.0,8269.0,3817,34092257,8932.0,1821.0,3929102.0,2158.0,348.0,896644.0,2577.0,2169,4825746,2225.0
121309,142.0,3195367.0,22503.0,55.0,573217.0,10422.0,197,3768584,19130.0,1.0,2250.0,2250.0,3.0,2250.0,750.0,4,4500,1125.0
121691,38.0,528947.0,13920.0,51.0,334367.0,6556.0,89,863314,9700.0,11.0,27050.0,2459.0,29.0,75129.0,2591.0,40,102179,2554.0
122597,566.0,2271956.0,4014.0,87.0,443356.0,5096.0,653,2715312,4158.0,5.0,17390.0,3478.0,1.0,4500.0,4500.0,6,21890,3648.0
122755,245.0,1332444.0,5439.0,50.0,378116.0,7562.0,295,1710560,5799.0,20.0,41768.0,2088.0,7.0,25072.0,3582.0,27,66840,2476.0
125231,241.0,1271872.0,5277.0,1216.0,8614357.0,7084.0,1457,9886229,6785.0,52.0,107690.0,2071.0,147.0,395979.0,2694.0,199,503669,2531.0
126580,1084.0,9236304.0,8521.0,215.0,1723743.0,8017.0,1299,10960047,8437.0,79.0,193250.0,2446.0,21.0,39935.0,1902.0,100,233185,2332.0
126614,968.0,13480241.0,13926.0,115.0,1950773.0,16963.0,1083,15431014,14248.0,8.0,15533.0,1942.0,2.0,1900.0,950.0,10,17433,1743.0
126669,307.0,2466764.0,8035.0,84.0,652352.0,7766.0,391,3119116,7977.0,204.0,723277.0,3545.0,9.0,35874.0,3986.0,213,759151,3564.0
126818,937.0,11321964.0,12083.0,171.0,2072074.0,12117.0,1108,13394038,12088.0,24.0,12105.0,504.0,51.0,93172.0,1827.0,75,105277,1404.0
126827,1275.0,16002769.0,12551.0,268.0,3518054.0,13127.0,1543,19520823,12651.0,373.0,1170428.0,3138.0,45.0,143967.0,3199.0,418,1314395,3144.0
127060,141.0,3056727.0,21679.0,378.0,6376674.0,16870.0,519,9433401,18176.0,3.0,9250.0,3083.0,24.0,69120.0,2880.0,27,78370,2903.0
127565,314.0,3483670.0,11094.0,15.0,221930.0,14795.0,329,3705600,11263.0,34.0,121302.0,3568.0,3.0,3759.0,1253.0,37,125061,3380.0
127918,122.0,1398191.0,11461.0,122.0,1225628.0,10046.0,244,2623819,10753.0,64.0,238087.0,3720.0,20.0,56516.0,2826.0,84,294603,3507.0
128780,32.0,121056.0,3783.0,2.0,7919.0,3960.0,34,128975,3793.0,20.0,46250.0,2313.0,3.0,4500.0,1500.0,23,50750,2207.0
129020,148.0,4695406.0,31726.0,97.0,2822072.0,29094.0,245,7517478,30684.0,4.0,15250.0,3813.0,4.0,10000.0,2500.0,8,25250,3156.0
129941,110.0,2344550.0,21314.0,66.0,710591.0,10767.0,176,3055141,17359.0,1.0,750.0,750.0,6.0,15000.0,2500.0,7,15750,2250.0
130183,567.0,2383308.0,4203.0,117.0,389915.0,3333.0,684,2773223,4054.0,2651.0,6642789.0,2506.0,255.0,560661.0,2199.0,2906,7203450,2479.0
130226,147.0,4735454.0,32214.0,41.0,776275.0,18934.0,188,5511729,29318.0,2.0,9000.0,4500.0,1.0,4500.0,4500.0,3,13500,4500.0
130943,200.0,2751284.0,13756.0,40.0,614328.0,15358.0,240,3365612,14023.0,27.0,115113.0,4263.0,5.0,6000.0,1200.0,32,121113,3785.0
131159,136.0,4403503.0,32379.0,316.0,6033951.0,19095.0,452,10437454,23092.0,1.0,1000.0,1000.0,43.0,144679.0,3365.0,44,145679,3311.0
131469,286.0,6598300.0,23071.0,662.0,11453214.0,17301.0,948,18051514,19042.0,134.0,238062.0,1777.0,48.0,156250.0,3255.0,182,394312,2167.0
132471,156.0,1621109.0,10392.0,81.0,1217430.0,15030.0,237,2838539,11977.0,10.0,24750.0,2475.0,2.0,5500.0,2750.0,12,30250,2521.0
132903,987.0,4731248.0,4794.0,145.0,1043350.0,7196.0,1132,5774598,5101.0,87.0,147619.0,1697.0,87.0,259450.0,2982.0,174,407069,2339.0
133650,111.0,522611.0,4708.0,21.0,168741.0,8035.0,132,691352,5238.0,7.0,13451.0,1922.0,2.0,6750.0,3375.0,9,20201,2245.0
133669,319.0,1508650.0,4729.0,63.0,557223.0,8845.0,382,2065873,5408.0,28.0,32885.0,1174.0,21.0,29597.0,1409.0,49,62482,1275.0
133881,145.0,3162794.0,21812.0,137.0,975758.0,7122.0,282,4138552,14676.0,4.0,17638.0,4410.0,346.0,978287.0,2827.0,350,995925,2846.0
133951,364.0,2558323.0,7028.0,168.0,1926620.0,11468.0,532,4484943,8430.0,37.0,82710.0,2235.0,5.0,19098.0,3820.0,42,101808,2424.0
134097,393.0,2220859.0,5651.0,256.0,1853033.0,7238.0,649,4073892,6277.0,20.0,31385.0,1569.0,102.0,404737.0,3968.0,122,436122,3575.0
134130,273.0,1217139.0,4458.0,371.0,5358828.0,14444.0,644,6575967,10211.0,13.0,24977.0,1921.0,95.0,278831.0,2935.0,108,303808,2813.0
134237,3444.0,48036136.0,13948.0,156.0,2009317.0,12880.0,3600,50045453,13902.0,116.0,292520.0,2522.0,3.0,6250.0,2083.0,119,298770,2511.0
