UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B26,F1B08,F1B09,F1B11,F1B13,F1B14,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C141,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1MHOP,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1E12,F1E121,F1E13,F1E131,F1E14,F1E141,F1E16,F1E161,F1E17,F1E171,F1E172,F1FHA,F1H01,F1H02,F1H03,F1H03A,F1H03B,F1H03C,F1H03D,F1N01,F1N02,F1N03,F1N04,F1N05,F1N06,F1N07   
147776,106070555.0,133286198.0,38363802.0,171650000.0,277720555.0,1949272.0,2780000.0,18793114.0,21573114.0,68697450.0,4381296.0,73078746.0,94651860.0,40736316.0,99989892.0,7679830.0,0.0,36611929.0,144281651.0,38520510.0,0.0,228785342.0,41806437.0,5063101.0,314175390.0,144836666.0,183097039.0,183288349.0,-191310.0,144472961.0,0.0,144281651.0,39665684,8758621,2000819,1503501,645614,857887,1679411.0,0,1866673,55474709,37345300,29702538,10343963,0,203728,48772625,126368154,181842863,397278.0,0.0,1254176,183097039,92756680,49432877,1513980,882463,6370012,3467172,11442104,4607023,13775449,5527842,26854168,9251691,15033229,7146045.0,1488342.0,8396682,183288349,74657410,46582444,16088462,5985057,1771377,38203599,1,0.0,0.0,0.0,685443.0,1,-2702046.0,27233796.0,12601510.0,1263829.0,10921012.0,1129677.0,10665040.0,659473.0,6331100.0,29706302.0,14673073.0,0.0,14673073.0,15033229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14673073.0,14673073.0,0.0,1,12705271.0,13315469.0,610198.0,27150.0,-2577089.0,0.0,3160137.0,-1445486.0,183097039.0,-191310.0,144281651.0,7679830.0,44332507.0,183288349.0
149222,100384890.0,474828105.0,179053818.0,653881923.0,754266813.0,27074479.0,9872917.0,70412604.0,80285521.0,91458562.0,195708633.0,287167195.0,367452716.0,36993030.0,321284456.0,32662160.0,4422031.0,18526899.0,376895546.0,58694040.0,0.0,836725955.0,197629694.0,12206152.0,1105255841.0,682005771.0,823644254.0,799743085.0,23901169.0,352994377.0,0.0,376895546.0,98741719,21100812,19975814,21428560,4997263,16431297,42851392.0,162179684,0,422578524,139311816,45520019,13184105,14563912,-7801577,195663786,400627604,823206128,432126.0,6000.0,438126,823644254,203587437,100948281,42693585,16358689,56664964,22002823,305416050,145464873,65618452,16009842,52158637,22774932,21645915,49401135.0,14405245.0,2556910,799743085,337964685,212519155,51965946,39300967,3342308,154650024,1,0.0,0.0,0.0,1938619.0,1,-2839991.0,90150759.0,34087794.0,24211648.0,14550016.0,682082.0,13184105.0,3684526.0,31638892.0,63739621.0,38545380.0,3548326.0,42093706.0,21645915.0,9613274.0,8419468.0,565487.0,495263.0,12121684.0,12016348.0,3392920.0,2971577.0,16400341.0,14642724.0,1757617.0,1,195224587.0,174737614.0,-20486973.0,7244091.0,-19379359.0,-8351705.0,0.0,5970949.0,955332064.0,-7461289.0,792137729.0,316203148.0,101331479.0,954736634.0
149231,106789703.0,298549531.0,77263039.0,375812570.0,482602273.0,12373502.0,12716530.0,29163980.0,41880510.0,67127765.0,57225746.0,124353511.0,166234021.0,17034069.0,236480285.0,50461030.0,0.0,24766370.0,311707685.0,58397188.0,21722279.0,600046446.0,94470964.0,4087152.0,778724029.0,463731682.0,425267555.0,418584737.0,6682818.0,305024866.0,1.0,311707685.0,118252299,18152239,5148081,8152330,270367,7881963,39337210.0,19015002,0,208057161,62318400,42547579,13833031,44483,32630,92856977,211633100,419690261,2245992.0,3331302.0,5577294,425267555,180949892,83301327,9193753,3923868,25289510,10622511,30003363,10825553,51227000,15137672,34925654,11512119,42097106,38038715.0,10469104.0,6859744,418584737,145792154,92582429,31818078,26052241,1697964,120641871,1,0.0,0.0,0.0,982408.0,1,0.0,40502515.0,15314806.0,10877697.0,15185675.0,14049159.0,13538597.0,3617596.0,14594915.0,60985942.0,15938177.0,2950659.0,18888836.0,42097106.0,5451083.0,4599560.0,5043117.0,4255323.0,4859845.0,4100680.0,1298581.0,1095727.0,2236210.0,1886887.0,349323.0,1,36849269.0,33704893.0,-3144376.0,3016860.0,-4722743.0,-1498300.0,59807.0,-3309579.0,433021143.0,-3309579.0,412330078.0,140047176.0,79844295.0,438158920.0
150136,163560131.0,878349258.0,329239525.0,1207588783.0,1371148914.0,85566207.0,22825000.0,54070973.0,76895973.0,381615588.0,15916880.0,397532468.0,474428441.0,143374812.0,523224258.0,67542911.0,895243.0,247249456.0,838911868.0,91377500.0,113236959.0,1110308681.0,96478488.0,10346414.0,1421748042.0,543398784.0,506909158.0,492395410.0,14513748.0,824398120.0,0.0,838911868.0,152120253,7789460,2991383,5461464,0,5461464,55234116.0,7527241,9555306,240679223,141532639,66358443,30842504,7985790,-36072868,22368632,233015140,473694363,27656169.0,5558626.0,33214795,506909158,188238505,112276071,13248016,5767093,12322622,4698852,53058559,26384349,22914813,8997412,94008686,30259281,36594923,91981587.0,28494278.0,-19972301,492395410,216877336,72800197,35960846,33123377,13886906,119746748,1,1052462.0,8099354.0,30199946.0,17766331.0,1,-21024763.0,-61837629.0,113174866.0,67799876.0,24423607.0,21507739.0,30821233.0,414598.0,50741057.0,127908234.0,77430773.0,13882538.0,91313311.0,36594923.0,14460383.0,8070753.0,2210731.0,1524045.0,30595513.0,30365778.0,500.0,500.0,44046184.0,37469697.0,6576487.0,1,244456136.0,240976230.0,-3479906.0,11810230.0,-11398803.0,-3608592.0,-282741.0,-3637797.0,534662808.0,-21577775.0,1118668321.0,486455559.0,365600000.0,538300605.0
151102,72661802.0,149159593.0,84214810.0,233374403.0,306036205.0,5909463.0,7650682.0,11862101.0,19512783.0,68059847.0,13830141.0,81889988.0,101402771.0,4823345.0,81133732.0,37189221.0,42382573.0,45014026.0,205719552.0,6679069.0,17782966.0,310142549.0,18352955.0,1714053.0,354671592.0,202164116.0,152802168.0,143486232.0,9315936.0,196218991.0,184625.0,205719552.0,49798892,1335947,360144,651820,0,651820,8049466.0,5320248,977803,66494320,50959096,26690088,0,811379,-358768,432422,78534217,145028537,0.0,6335696.0,7773631,152802168,53944536,31054226,845295,435288,2394213,1130633,13360855,5213783,16817845,6702191,29990290,12831199,20237907,5895291.0,619197.0,0,143486232,57986517,18814460,8061126,12342929,2600704,43680496,1,-854626.0,1374924.0,2371193.0,1223200.0,1,-238543.0,1582492.0,596716.0,349478.0,9788545.0,10915241.0,0.0,2542495.0,8149452.0,31395733.0,9919307.0,1238519.0,11157826.0,20237907.0,3478781.0,3092636.0,3879201.0,3448610.0,0.0,0.0,903585.0,803287.0,2896259.0,2574774.0,321485.0,1,79529663.0,78129799.0,-1399864.0,1439530.0,-3086159.0,-2857314.0,3104079.0,3559127.0,149270501.0,7907769.0,218464681.0,94662883.0,75710529.0,144812623.0
151111,353323230.0,1041885210.0,1140490829.0,2182376039.0,2535699269.0,33204657.0,30836215.0,131657703.0,162493918.0,289919933.0,131492013.0,421411946.0,583905864.0,51918589.0,853595312.0,643314812.0,26265941.0,409903408.0,1933079473.0,63316499.0,61140435.0,1739972343.0,242492744.0,77809534.0,2184731555.0,1089846784.0,1847730939.0,1408896485.0,438834454.0,1703403378.0,-209158359.0,1933079473.0,322455906,291054743,15458212,125757278,1984489,123772789,86923685.0,20121726,273100576,1134872126,255284493,76133486,0,481154285,-100172913,176908,712576259,1847448385,0.0,282004.0,282554,1847730939,532463612,291276711,243469612,107210668,82942302,42440428,280745500,157087533,40740500,22081043,20925240,7712489,58401267,126396624.0,38275713.0,22811828,1408896485,668800914,216831336,31587187,65542042,9158008,416976998,1,-708711.0,8715556.0,14947637.0,7682804.0,1,7000233.0,77265670.0,27615616.0,21858607.0,34570499.0,31156687.0,0.0,23259276.0,68857770.0,157844232.0,87235001.0,12207964.0,99442965.0,58401267.0,21779655.0,19105909.0,19628930.0,17219214.0,0.0,0.0,14653505.0,12854590.0,43380875.0,38055288.0,5325587.0,1,2252019515.0,2180644869.0,-71374646.0,148878093.0,-75697505.0,-160278387.0,15723153.0,289985305.0,1988458657.0,319808742.0,4259982103.0,2125395183.0,266992381.0,1658224497.0
151306,65983770.0,203830025.0,143249145.0,347079170.0,413062940.0,9314912.0,11211963.0,19292573.0,30504536.0,115629622.0,4963578.0,120593200.0,151097736.0,7266922.0,129469268.0,255808.0,0.0,134288118.0,264013194.0,20322309.0,10817987.0,404318064.0,31341827.0,4059763.0,470859950.0,257884564.0,170074362.0,160812996.0,9261366.0,254740857.0,10971.0,264013194.0,49366658,47658,78712,2585737,26937,2558800,15495203.0,349498,2030682,69954148,63629666,28171775,8437200,4059015,-6778420,1488016,99007252,168961400,1112962.0,0.0,1112962,170074362,59124027,31733475,443294,38422,4274861,1256106,16753946,5543534,17833433,6180482,27323135,8825359,15509952,23799356.0,3376121.0,-4249008,160812996,56953499,17905607,15110565,15567928,3993536,51281861,1,-1035007.0,1883504.0,3568423.0,1624260.0,1,-3214001.0,-4690720.0,3256878.0,5927878.0,8714568.0,9366815.0,8064386.0,0.0,17496127.0,43641896.0,26321386.0,1810558.0,28131944.0,15509952.0,8714568.0,8714568.0,2385704.0,2385704.0,8064386.0,8064386.0,2691615.0,2691615.0,6275671.0,4465113.0,1810558.0,1,155208079.0,127727513.0,-27480566.0,2551909.0,-26044803.0,-3994143.0,6471.0,2634130.0,173380748.0,-19231102.0,444032666.0,233593945.0,126841585.0,170231672.0
151324,58724394.0,537999770.0,185456991.0,723456761.0,782181155.0,13581545.0,16952881.0,22166281.0,39119162.0,232490122.0,7224508.0,239714630.0,278833792.0,11472152.0,328540782.0,6815029.0,727110.0,169373835.0,505456756.0,78742064.0,37025486.0,735385433.0,85138582.0,534144.0,936825709.0,360384093.0,233763633.0,252279200.0,-18515567.0,523973000.0,-677.0,505456756.0,50558729,4944233,213307,5716224,0,5716224,34761184.0,2567118,1346278,100107073,84558506,43170973,13134257,625685,-13171198,1542201,129860424,229967497,1504289.0,2291847.0,3796136,233763633,81737523,44715953,13347582,4591590,2791826,1429532,22984706,11323106,15844219,8924523,21925874,10180041,24751742,62266859.0,11754514.0,6628869,252279200,92921503,28429436,30543869,22258671,7408913,70716808,1,-1134866.0,3957938.0,7598295.0,3836064.0,1,6336911.0,-35887182.0,0.0,9745481.0,14090761.0,15390584.0,13133446.0,194629.0,23695852.0,66505272.0,30702292.0,11051238.0,41753530.0,24751742.0,11114251.0,7582516.0,477256.0,363042.0,13044728.0,11159234.0,929145.0,640124.0,16188150.0,10957376.0,5230774.0,1,79121000.0,73552657.0,-5568343.0,5400111.0,-8641815.0,-2574033.0,247394.0,-23362476.0,235338029.0,-24044135.0,615867349.0,194713131.0,252025283.0,258700504.0
151333,7493709.0,45643667.0,22689080.0,68332747.0,75826456.0,907869.0,57855.0,6544792.0,6602647.0,133525.0,2832936.0,2966461.0,9569108.0,1773261.0,47353958.0,3817193.0,575011.0,13645794.0,65391956.0,3449519.0,2392917.0,80060263.0,3916660.0,193415.0,90012774.0,42830188.0,45817784.0,40282562.0,5535222.0,67683171.0,-7826437.0,65391956.0,17755480,183213,293558,163583,4250,159333,341283.0,60132,618766,19416015,16059485,10899045,0,874779,-1997556,7034,25842787,45258802,542285.0,16697.0,558982,45817784,19627772,12343578,1111055,67901,472491,107075,3571231,1582166,4950019,2733735,2055957,1203050,6088497,2048866.0,101746.0,356674,40282562,18209670,5903740,1387937,2639372,0,12141843,1,-27432.0,337356.0,578583.0,297381.0,1,195819.0,2161368.0,767816.0,610488.0,4749948.0,4016817.0,0.0,555631.0,2661815.0,11984211.0,5171936.0,723778.0,5895714.0,6088497.0,2336769.0,2049899.0,1976100.0,1733507.0,0.0,0.0,273347.0,239790.0,1309498.0,1148740.0,160758.0,1,11677489.0,11793240.0,115751.0,570768.0,-6670.0,-509788.0,61441.0,4187141.0,46020057.0,4968282.0,83443572.0,26622400.0,0.0,42635226.0
151342,12688959.0,99053800.0,46338844.0,145392644.0,158081603.0,2297638.0,2543945.0,3521891.0,6065836.0,23300124.0,5437486.0,28737610.0,34803446.0,2674855.0,82046425.0,10883831.0,1305.0,29969379.0,122900940.0,13196504.0,4612084.0,179138921.0,10377763.0,369147.0,207694419.0,101685528.0,75888208.0,70674989.0,5213219.0,127780880.0,-10093159.0,122900940.0,25872314,927167,31213,235659,24858,210801,2730680.0,290698,1009480,31097211,26307172,20065368,0,1314394,-3330804,30,44356160,75453371,434837.0,0.0,434837,75888208,36094377,21190621,3017763,185528,822576,351890,6378052,2798799,4642762,2494638,3039690,1429910,9452457,6529406.0,544353.0,697906,70674989,29244667,9481387,5839746,6513894,881627,18713668,1,-66873.0,822387.0,1410436.0,724938.0,1,320257.0,3534867.0,1257718.0,998847.0,7611015.0,7011907.0,0.0,971941.0,4606888.0,20201751.0,9429673.0,1319621.0,10749294.0,9452457.0,4049799.0,3552632.0,3731015.0,3272983.0,0.0,0.0,517167.0,453678.0,2451313.0,2150380.0,300933.0,1,33726642.0,34793837.0,1067195.0,1569937.0,28172.0,-752535.0,221621.0,2648676.0,77690434.0,3573343.0,170466413.0,49441760.0,24793952.0,73969088.0
