UNITID,F2A01,F2A19,F2A02,F2A03,F2A03A,F2A04,F2A05,F2A05A,F2A05B,F2A06,F2A11,F2A12,F2A13,F2A15,F2A17,F2A18,F2B01,F2B02,F2B04,F2B05,F2B07,F2C01,F2C02,F2C03,F2C05,F2C06,F2C07,F2C08,F2C10,F2C13,F2C131,F2C16,F2C161,F2C17,F2C171,F2D01,F2D012,F2D05,F2D052,F2D08,F2D082,F2D083,F2D084,F2D08A,F2D082A,F2D083A,F2D084A,F2D10,F2D102,F2D103,F2D12,F2D122,F2D15,F2D152,F2D16,F2D162,F2D163,F2D164,F2D172,F2D173,F2D18,F2D182,F2D183,F2D184,F2E011,F2E012,F2E041,F2E042,F2E051,F2E052,F2E061,F2E062,F2E071,F2E072,F2E131,F2E132,F2E133,F2E134,F2E135,F2E136,F2E137,F2FHA,F2H01,F2H02,F2H03,F2H03A,F2H03B,F2H03C,F2I01,F2I02,F2I03,F2I04,F2I05,F2I06,F2I07   
238661,53842290.0,51215534.0,154907621.0,16206451.0,10708971.0,100744546.0,37956624.0,28548742.0,9407882.0,138701170.0,2634075.0,85038147.0,8162944.0,155629.0,95990795.0,44775261.0,40126203.0,42915422.0,-2789219.0,141490389.0,138701170.0,1394957.0,1979137.0,1253345.0,1889833.0,14616750.0,21134022.0,16578754.0,16635149.0,128566.0,128566.0,1889833.0,1833438.0,14616750.0,14616750.0,29907618,29907618,4040484,4040484,2107346,257732,1176831,672783,2107346,257732,1176831,672783,-2890560,-3830475,-927202,5752116.0,5752116.0,1209199,1165901,40126203,37293376,292927,2539900,2482826,-2482826,40126203,39776202,-2189899,2539900,14477809,8241298,7380496,4294860,6669580,2933868,7271429,3307187,4904858.0,347672.0,42915422,19242179,5423273,4422500,2595366,320431,10911673,1,70258436.0,65977917.0,-4280519.0,1421755.0,-5756581.0,-1812810.0,-3139220.0,44509426.0,-2789219.0,141490389.0,69595865.0,10708971.0,42915422.0
238980,27437835.0,59226207.0,92745304.0,42478040.0,31381335.0,32115599.0,18151665.0,13423388.0,4728277.0,50267264.0,10447286.0,53658909.0,23490277.0,23836637.0,111433109.0,52206902.0,33732401.0,39280034.0,-5315458.0,55582722.0,50267264.0,2337437.0,137718.0,962534.0,304663.0,12154509.0,15896861.0,12764823.0,12764823.0,137718.0,137718.0,304663.0,304663.0,9022471.0,9022471.0,23180322,23180322,2475155,2475155,3147288,1483394,1663894,0,2792103,1483394,1308709,0,-4437017,-1943951,-2493066,4792385.0,4792385.0,4220081,4220081,33732401,34561573,-829172,0,0,0,33732401,34561573,-829172,0,15020105,6722672,3537721,2046295,7800810,3399737,4318144,1551055,5372648.0,1034387.0,39280034,15960680,4702964,4432565,3271690,17294,10894841,1,21415099.0,18777358.0,-2637741.0,341162.0,-2443030.0,-535873.0,-1270130.0,38068344.0,-5315458.0,55582722.0,31110425.0,31381335.0,39280034.0
239017,403744347.0,115642690.0,581558284.0,68047498.0,44065263.0,100728344.0,412782442.0,269456120.0,143326322.0,513510786.0,13031018.0,206199646.0,78235579.0,1309044.0,298775287.0,183132597.0,27056236.0,77439905.0,-51706686.0,565217472.0,513510786.0,1650249.0,1472215.0,591692.0,11627376.0,39591542.0,54933074.0,51218918.0,51218918.0,0.0,0.0,11627376.0,11627376.0,39591542.0,39591542.0,25587381,25587381,2538229,2538229,11609516,3057884,3227716,5323916,11609516,3057884,3227716,5323916,-29691710,-3269007,-26758904,16341222.0,16341222.0,651042,778256,27056236,45054521,-23960085,5961800,27695476,-27695476,27056236,72749997,-51655561,5961800,28447000,15722895,4856915,2134352,15685371,5763468,14445730,7421560,10906107.0,21364.0,77439905,31734568,9008234,6849544,7564303,1432042,20851214,1,487034820.0,440838808.0,-46196012.0,7472399.0,-30497581.0,-23170830.0,-4689907.0,79227837.0,-51706686.0,565217472.0,170598385.0,43253285.0,77439905.0
239071,145556.0,17402713.0,23386900.0,5811377.0,4472553.0,15327393.0,2248130.0,277946.0,1970184.0,17575523.0,587906.0,30741160.0,5785015.0,188539.0,37302620.0,19899907.0,17784730.0,17644013.0,140717.0,17434806.0,17575523.0,1136604.0,824243.0,332830.0,224392.0,1406542.0,3924611.0,2431177.0,2431177.0,800243.0,800243.0,224392.0,224392.0,1406542.0,1406542.0,8522701,8522701,604608,604608,2236679,755645,1481034,0,2236679,755645,1481034,0,-351622,-177637,-173985,3789571.0,3789571.0,2605793,1804530,17784730,15676418,2108312,0,-335546,335546,17784730,15340872,2443858,0,6558288,2528331,1320017,660034,1836860,999993,3147745,1185525,2021823.0,441609.0,17644013,6366250,3307564,866180,998473,217095,5888451,1,277767.0,277946.0,179.0,180.0,0.0,0.0,476262.0,18120275.0,140717.0,17434806.0,4390614.0,4472553.0,17644013.0
239080,13318623.0,35156427.0,58835996.0,6057170.0,0.0,40158431.0,12620395.0,8383399.0,4236996.0,52778826.0,4143196.0,50999124.0,13706550.0,122286.0,68971156.0,33814729.0,27959616.0,25727425.0,2232191.0,50546635.0,52778826.0,1906948.0,73796.0,1113445.0,112598.0,14048754.0,17255541.0,15344409.0,15344409.0,73796.0,73796.0,112598.0,112598.0,12137622.0,12137622.0,17653411,17653411,4000142,4000142,4393991,278177,4088919,26895,4393991,278177,4088919,26895,-1829122,-621889,-1207233,3741194.0,3741194.0,0,0,27959616,25051035,2881686,26895,4297116,-4297116,27959616,29348151,-1415430,26895,6580585,5168220,2612663,1294966,6766651,3170834,5404393,1738524,2083816.0,432182.0,25727425,12605281,1961242,989396,2353274,10507,7807725,1,9753603.0,10235636.0,482033.0,26895.0,-413437.0,0.0,3620101.0,39347526.0,2232191.0,50546635.0,9239000.0,0.0,25727425.0
239105,1037512000.0,609627000.0,1939220000.0,514779000.0,181510000.0,401593000.0,1022848000.0,563324000.0,459524000.0,1424441000.0,51423000.0,853897000.0,299465000.0,52994000.0,1257779000.0,648152000.0,450562000.0,441737000.0,8825000.0,1415616000.0,1424441000.0,7603000.0,13002000.0,4108000.0,22894000.0,161164000.0,208773000.0,197062000.0,197062000.0,13002000.0,13002000.0,22894000.0,22894000.0,161164000.0,161164000.0,250872000,250872000,40447000,40447000,98601000,13559000,50805000,34237000,91093000,6051000,50805000,34237000,-37411000,-29144000,-7085000,51844000.0,51844000.0,31174000,32428000,450562000,375041000,41817000,33704000,36411000,-36411000,450562000,411452000,5406000,33704000,155620000,87051000,52911000,21355000,75254000,27220000,58255000,30482000,45589000.0,4987000.0,441737000,199326000,55040000,30712000,39142000,11954000,105563000,1,929149000.0,865300000.0,-63849000.0,42432000.0,-67801000.0,-39485000.0,-30284000.0,454481000.0,8825000.0,1415616000.0,577714000.0,353468000.0,441737000.0
239169,1925663000.0,282623000.0,2911550000.0,892591000.0,451665000.0,1243304000.0,775655000.0,468894000.0,306761000.0,2018959000.0,8578000.0,466382000.0,300297000.0,13233000.0,788490000.0,505867000.0,1039094000.0,1357158000.0,-334529000.0,2353488000.0,2018959000.0,0.0,897000.0,1927000.0,3052000.0,11260000.0,17136000.0,16239000.0,16239000.0,0.0,0.0,0.0,0.0,14312000.0,14312000.0,63782000,63782000,165210000,165210000,95839000,66092000,19208000,10539000,36541000,6794000,19208000,10539000,-326793000,-216181000,-112677000,0.0,0.0,12146000,12146000,1039094000,1119959000,-93469000,12604000,0,0,1039094000,1119959000,-93469000,12604000,118875000,67342000,0,0,0,0,106023000,49000000,0.0,0.0,1357158000,889100000,172289000,38880000,35175000,10477000,211237000,1,1626374000.0,1512540000.0,-113834000.0,187184000.0,-256289000.0,-44729000.0,-215975000.0,1360344000.0,-334529000.0,2353488000.0,1243304000.0,442665000.0,1357158000.0
239309,2370786.0,14573081.0,27917955.0,8533126.0,6461684.0,13403008.0,5981821.0,3152845.0,2828976.0,19384829.0,725000.0,18728180.0,7165467.0,530941.0,27149588.0,12576507.0,23916859.0,21208613.0,2708246.0,16676583.0,19384829.0,1710792.0,238992.0,977603.0,716745.0,17830211.0,21474343.0,18546956.0,18546956.0,0.0,0.0,716745.0,716745.0,17830211.0,17830211.0,17272384,17272384,2219189,2219189,1922055,840793,1022223,59039,1170485,840793,270653,59039,-233752,-5005,-228747,495963.0,495963.0,2241020,2241020,23916859,23064344,793476,59039,1658694,-1658694,23916859,24723038,-865218,59039,8643928,5411093,4832529,1404807,2955280,1251762,3462938,1546542,1313938.0,384388.0,21208613,9998592,2021670,2985795,1045747,317922,4838887,1,3659778.0,3690014.0,30236.0,65039.0,-248054.0,-209840.0,3514425.0,24723038.0,2708246.0,16676583.0,8120587.0,6461684.0,21208613.0
239318,132082468.0,219656699.0,385282772.0,40686333.0,26709500.0,248165166.0,96431273.0,52283392.0,44147881.0,344596439.0,16548147.0,238397084.0,72268174.0,11216514.0,338429919.0,118773220.0,70771870.0,92351236.0,-21579366.0,366175805.0,344596439.0,2586757.0,6265189.0,2163528.0,3539926.0,59541074.0,74096474.0,74096474.0,74096474.0,278407.0,278407.0,3539926.0,3539926.0,65527856.0,65527856.0,43214881,43214881,4333867,4333867,13879951,940900,10320600,2618451,13879951,940900,10320600,2618451,-18439720,-4328549,-14111171,16008585.0,16008585.0,5986782,5986782,70771870,71943990,-3790571,2618451,38988806,-38988806,70771870,110932796,-42779377,2618451,35262164,20511815,4269211,2050854,14666846,4377001,21963729,5663037,7891874.0,1424354.0,92351236,37188330,10549975,8025260,11184951,1135725,24266995,1,87461359.0,75683084.0,-11778275.0,2618451.0,-11897943.0,-2498783.0,-21579366.0,110932796.0,-21579366.0,366175805.0,98324748.0,26709500.0,92351236.0
239390,39921011.0,26653277.0,76484409.0,11424016.0,7750036.0,30300473.0,34759920.0,21921186.0,12838734.0,65060393.0,542794.0,46810204.0,17740247.0,314761.0,65408006.0,38754729.0,21406525.0,27361273.0,-5954748.0,71015141.0,65060393.0,2120347.0,535430.0,1669318.0,2048940.0,9953451.0,16327486.0,12002391.0,12002391.0,0.0,0.0,932474.0,932474.0,11069917.0,11069917.0,16855403,16855403,2770641,2770641,5459848,853927,4605921,0,2382806,853927,1528879,0,-7082813,-1174200,-5908613,1770995.0,1770995.0,1632451,1541841,21406525,22618607,-1212082,0,0,0,21406525,22618607,-1212082,0,12769959,6672737,1583597,889098,3978550,2080373,7934479,3121060,1075264.0,63478.0,27361273,12846170,3399076,8982636,1905718,227673,0,1,27969827.0,24721392.0,-3248435.0,2468717.0,-4720246.0,-1115000.0,-1538081.0,25823192.0,-5954748.0,71015141.0,25360197.0,7750036.0,27361273.0
